,Entity,Year,GHG,Total (CO₂),Coal (CO₂),Oil (CO₂),Gas (CO₂),Cement (CO₂),Flaring (CO₂),Other (CO₂),Per Capita (CO₂)
32074,World,1919,10205527000.0,3029006550.0,2715307095.0,273426175.0,37948035.0,124745.0,,,1596733.0
32075,World,1920,10903476000.0,3521427394.0,3125913071.0,351332831.0,41685394.0,148899.0,,,1841644.0
32076,World,1921,10669232000.0,3090096693.0,2668378423.0,384909246.0,34992394.0,129580.0,,,1602857.0
32077,World,1922,10836915000.0,3240313875.0,2770647121.0,426946383.0,40107052.0,192769.0,,,1666597.0
32078,World,1923,11464264000.0,3676233141.0,3146398730.0,474386359.0,52526146.0,207956.0,,,1874427.0
32079,World,1924,11524160000.0,3687220204.0,3152611332.0,471969482.0,59709407.0,216033.0,,,1863383.0
32080,World,1925,11588408000.0,3727033783.0,3151385774.0,494215542.0,63923103.0,14428664.0,,,1866530.0
32081,World,1926,11550636000.0,3661030606.0,3081691079.0,492445695.0,69146119.0,14740364.0,,,1816722.0
32082,World,1927,12000633000.0,3996128593.0,3361452786.0,540274963.0,76018827.0,15448016.0,,,1964704.0
32083,World,1928,11979465000.0,3978763183.0,3305243573.0,552377112.0,82625481.0,35583017.0,,,1937986.0
32084,World,1929,12288142000.0,4270907871.000001,3522153421.0,606124672.0,102896384.0,36872743.0,,,2060880.0
32085,World,1930,12089384000.0,3938598509.0,3213992496.0,582546005.0,104225093.0,35561065.0,,,1882791.0
32086,World,1931,11823244000.0,3519903232.0,2830444750.0,563841404.0,92889035.0,30894293.0,,,1666640.0
32087,World,1932,11523510000.0,3173476314.0,2519800702.0,539439056.0,88222182.0,24694074.0,,,1487874.0
32088,World,1933,11804024000.0,3341518201.0,2635443798.0,589772150.0,90922866.0,23839037.0,,,1550982.0
32089,World,1934,12206737000.0,3634241757.0,2877993462.0,624161515.0,101958736.0,28514343.0,,,1669789.0
32090,World,1935,12362917000.0,3814798352.0,2996570477.0,672805178.0,111384590.0,32057657.0,,,1734991.0
32091,World,1936,12856831000.0,4185513777.0,3284790277.0,733946961.0,125546446.0,38736194.0,,,1884443.0
32092,World,1937,13279804000.0,4474232822.0,3463357114.0,826765585.0,140592263.0,40803909.0,,,1994476.0
32093,World,1938,13073998000.0,4206900962.0,3227655758.0,803012505.0,135511172.0,38521028.0,,,1857168.0
32094,World,1939,13315615000.0,4451247310.0,3434927989.0,836453112.0,141346169.0,35659390.0,,,1946638.0
32095,World,1940,13902011000.0,4861345476.0,3793771889.0,879363742.0,153551833.0,31430612.0,,,2106897.0
32096,World,1941,14365789000.0,4970814441.0,3884029964.0,885994019.0,153463220.0,43292988.0,,,2136624.0
32097,World,1942,14454576000.0,4959586068.0,3909700571.0,841425976.0,166048943.0,38376329.0,,,2116098.0
32098,World,1943,14616533000.0,5041694305.0,3925255750.0,894442132.0,182899895.0,34768878.0,,,2136459.0
32099,World,1944,14792170000.0,5117908671.0,3868037189.0,1025279061.0,197600826.0,22663946.0,,,2154477.0
32100,World,1945,13952066000.0,4257136335.0,2998035821.0,1015403169.0,216750789.0,22985655.0,,,1780211.0
32101,World,1946,14398192000.0,4646123604.0,3234049850.0,1147914896.0,223891825.0,36306133.0,,,1929283.0
32102,World,1947,15127643000.0,5145781820.0,3621182710.0,1228953200.0,247957419.0,43140791.0,,,2120464.0
32103,World,1948,15441084000.0,5424952693.0,3739086097.0,1349199063.0,280191375.0,51635058.0,,,2216430.0
32104,World,1949,15218637000.0,5181005732.0,3545798650.0,1272313797.0,300523502.0,58188834.0,,,2096239.0
